EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,1,-2,-4,-10,-12,-16,62,47,35,1018,1015,1013,16,16,16,35,23,48,0.00,0,,277<br />
2002-1-2,3,-1,-5,-7,-11,-14,64,51,38,1020,1018,1016,16,16,16,32,24,40,0.00,0,,270<br />
2002-1-3,4,1,-2,-8,-8,-10,66,54,38,1017,1013,1010,16,16,16,26,21,39,0.00,1,,285<br />
2002-1-4,1,-2,-4,-8,-13,-19,63,43,22,1016,1013,1009,16,16,16,26,19,,0.00,3,,288<br />
2002-1-5,4,1,-1,-6,-7,-8,61,52,45,1016,1015,1013,16,16,16,24,19,34,0.00,6,,250<br />
2002-1-6,8,4,0,4,-3,-8,89,64,36,1016,1009,993,16,14,4,39,16,52,8.64,8,Rain,189<br />
2002-1-7,5,1,-2,4,0,-4,100,90,81,1003,998,991,16,9,1,35,23,50,8.13,8,Rain-Snow,353<br />
2002-1-8,1,-2,-6,-4,-7,-11,93,72,50,1012,1008,1003,16,11,2,26,21,37,0.00,5,Snow,288<br />
2002-1-9,4,1,-2,0,-3,-7,86,70,57,1009,1004,1000,16,16,14,32,23,40,0.00,6,Rain,229<br />
2002-1-10,10,7,4,1,0,-2,76,63,52,1008,1004,999,16,16,16,34,24,40,0.00,6,,251<br />
2002-1-11,7,4,3,2,1,-2,93,76,58,1008,1004,1000,16,14,6,27,14,42,3.56,6,Rain,255<br />
2002-1-12,5,3,1,-1,-2,-3,89,69,57,1011,1009,1005,16,16,14,26,19,,0.00,5,,229<br />
2002-1-13,4,2,1,3,-1,-8,100,83,50,1006,995,985,16,9,1,53,21,72,20.32,7,Rain-Snow,296<br />
2002-1-14,3,1,0,-3,-8,-9,67,52,41,1020,1016,1005,16,16,16,34,26,60,0.00,4,,255<br />
2002-1-15,4,2,0,3,0,-1,100,92,79,1017,1011,1007,16,7,2,23,16,,6.35,8,Rain-Snow,353<br />
2002-1-16,4,3,1,0,-6,-8,82,57,46,1021,1016,1007,16,16,16,27,21,39,0.00,6,,286<br />
2002-1-17,6,2,-1,1,-3,-7,96,75,52,1020,1014,1009,16,11,1,24,16,45,1.02,6,Fog-Snow,220<br />
2002-1-18,1,0,-2,-7,-8,-12,61,53,38,1021,1015,1013,16,16,14,29,21,40,0.00,2,Snow,270<br />
2002-1-19,-1,-2,-4,-3,-7,-12,100,74,45,1025,1019,1012,16,9,1,27,14,34,3.05,7,Snow,268<br />
2002-1-20,2,-2,-6,-4,-6,-7,100,77,52,1021,1015,1010,16,12,1,19,14,,1.02,5,Fog-Snow,296<br />
2002-1-21,3,0,-3,2,-2,-7,100,85,67,1021,1011,1004,16,11,2,34,11,42,4.83,7,Rain-Snow,215<br />
2002-1-22,7,4,0,-3,-4,-6,73,58,40,1027,1019,1007,16,16,16,34,23,42,0.00,1,,266<br />
2002-1-23,11,6,0,6,1,-5,87,71,46,1026,1017,1011,16,16,16,53,24,69,0.00,4,,222<br />
2002-1-24,9,7,5,8,6,2,100,89,81,1011,1004,999,16,11,3,32,16,37,1.52,7,Rain,241<br />
2002-1-25,6,4,2,2,-3,-7,87,62,40,1018,1011,1005,16,16,16,37,19,50,0.00,3,,298<br />
2002-1-26,10,6,2,-4,-6,-7,57,44,33,1021,1017,1015,16,16,16,35,26,45,0.00,5,,239<br />
2002-1-27,12,7,1,3,-1,-6,100,68,30,1022,1020,1017,16,13,0,13,6,,0.00,4,Fog,99<br />
2002-1-28,11,6,2,3,2,0,100,82,52,1019,1016,1013,16,8,1,19,5,,0.00,8,,186<br />
2002-1-29,18,11,5,2,0,-1,79,49,28,1015,1013,1010,16,16,14,27,11,37,0.00,7,,222<br />
2002-1-30,7,4,2,5,1,-4,100,86,60,1028,1020,1014,16,10,3,23,14,,3.56,8,Rain,13<br />
2002-1-31,1,0,-1,0,-2,-6,100,86,60,1033,1029,1025,16,6,0,32,21,29,6.60,8,Fog-Rain-Snow,70<br />
2002-2-1,4,1,-1,3,-1,-4,100,87,57,1025,1013,1001,16,7,1,37,19,55,8.38,7,Rain-Snow,92<br />
2002-2-2,2,-1,-4,-7,-12,-15,59,49,38,1027,1021,1008,16,16,16,42,27,55,0.00,1,,292<br />
2002-2-3,3,-2,-6,-3,-8,-14,82,61,46,1027,1021,1011,16,16,16,34,13,39,0.00,3,,199<br />
2002-2-4,3,0,-3,-3,-5,-10,82,65,52,1011,1007,1004,16,16,16,32,11,,0.00,4,,345<br />
2002-2-5,-2,-4,-7,-11,-14,-17,57,45,30,1018,1015,1012,16,16,16,37,27,50,0.00,3,,292<br />
2002-2-6,3,-1,-5,-6,-10,-13,69,52,35,1021,1020,1017,16,16,16,27,14,32,0.00,3,,277<br />
2002-2-7,6,2,-2,-1,-3,-7,89,72,51,1019,1012,1006,16,15,10,19,10,,0.00,4,,210<br />
2002-2-8,8,4,1,-3,-5,-8,70,51,34,1020,1012,1006,16,16,16,29,19,37,0.00,3,,285<br />
2002-2-9,3,0,-2,-6,-12,-18,64,42,27,1038,1032,1021,16,16,14,26,14,,0.00,1,,348<br />
2002-2-10,12,4,-4,11,-1,-9,100,77,54,1037,1026,1004,16,15,10,45,13,60,2.29,6,Rain,179<br />
2002-2-11,12,1,-9,11,-1,-19,100,79,45,1022,1005,998,16,11,0,47,29,58,11.68,6,Fog-Rain-Snow,308<br />
2002-2-12,5,-2,-10,-3,-10,-21,63,52,41,1022,1013,1007,16,16,16,42,19,55,0.00,5,,223<br />
2002-2-13,3,-2,-6,-5,-13,-21,61,41,22,1026,1016,1007,16,16,14,42,24,55,0.00,1,Snow,281<br />
2002-2-14,2,-3,-8,-8,-13,-17,57,45,34,1030,1027,1025,16,16,16,29,19,42,0.00,1,,246<br />
2002-2-15,8,3,-1,3,-4,-8,82,58,37,1025,1020,1014,16,16,16,40,26,55,0.00,6,,219<br />
2002-2-16,12,8,3,4,1,-4,97,66,38,1014,1009,1005,16,16,14,21,13,,0.00,5,,234<br />
2002-2-17,5,3,1,3,1,-3,93,85,62,1010,1006,1004,16,11,6,35,11,52,1.52,8,Rain-Snow,355<br />
2002-2-18,4,1,-1,-2,-9,-13,76,48,31,1024,1020,1011,16,16,14,42,31,52,0.00,2,Snow,4<br />
2002-2-19,11,4,-2,-5,-12,-14,54,34,18,1025,1023,1021,16,16,16,16,11,,0.00,2,,284<br />
2002-2-20,9,6,2,5,-1,-8,80,64,40,1023,1020,1013,16,16,16,21,8,,0.00,7,,154<br />
2002-2-21,12,9,6,11,9,6,100,96,83,1012,1007,1005,16,6,0,24,14,29,8.13,8,Fog-Rain,169<br />
2002-2-22,9,6,3,4,0,-4,76,63,52,1014,1010,1007,16,16,16,35,23,42,0.25,4,,264<br />
2002-2-23,6,3,1,-2,-4,-9,76,61,40,1021,1017,1014,16,16,16,26,16,27,0.00,3,,303<br />
2002-2-24,3,0,-2,-3,-4,-9,82,67,52,1027,1025,1022,16,16,16,21,14,,0.00,2,,78<br />
2002-2-25,9,4,-1,3,-1,-6,92,73,39,1026,1022,1017,16,16,16,29,16,,0.00,5,,198<br />
2002-2-26,16,10,4,10,4,1,93,74,36,1017,1011,1004,16,16,13,39,18,45,0.00,3,Rain,192<br />
2002-2-27,13,7,-1,12,3,-7,100,86,64,1003,998,994,16,10,2,39,21,52,13.72,8,Rain-Snow,268<br />
2002-2-28,2,-1,-3,-7,-11,-13,69,47,31,1023,1011,999,16,16,16,45,29,60,0.00,1,,270<br />
2002-3-1,6,2,-3,-7,-9,-11,63,44,31,1035,1028,1024,16,16,16,29,14,42,0.00,1,,240<br />
2002-3-2,8,3,-1,2,-2,-6,89,67,51,1039,1035,1026,16,16,14,27,11,39,0.25,5,Rain,150<br />
2002-3-3,16,10,4,13,8,-2,100,87,50,1025,1007,999,16,11,2,47,23,58,13.72,8,Rain,187<br />
2002-3-4,6,1,-4,-4,-12,-18,51,39,27,1019,1010,1004,16,16,16,35,29,47,0.00,5,,285<br />
2002-3-5,0,-3,-6,-13,-16,-17,48,38,29,1027,1024,1020,16,16,16,26,21,35,0.00,2,,268<br />
2002-3-6,11,4,-2,2,-4,-13,89,61,36,1026,1023,1020,16,15,5,24,16,35,0.00,5,Snow,228<br />
2002-3-7,8,4,1,3,1,-2,93,79,54,1031,1026,1022,16,15,11,26,11,,0.00,5,,56<br />
2002-3-8,6,4,2,4,3,1,100,89,81,1036,1034,1031,16,10,1,24,11,,0.00,7,Fog,84<br />
2002-3-9,18,11,4,13,7,4,100,91,56,1034,1028,1016,16,8,0,32,8,45,0.25,6,Fog-Rain,152<br />
2002-3-10,16,7,-2,13,-1,-16,94,60,31,1018,1010,1005,16,15,5,48,37,69,7.62,5,Rain-Snow,262<br />
2002-3-11,4,1,-3,-9,-13,-14,49,38,26,1027,1024,1019,16,16,16,35,24,48,0.00,3,,259<br />
2002-3-12,8,4,1,2,-2,-10,89,64,46,1026,1024,1021,16,16,11,29,14,40,0.00,6,,226<br />
2002-3-13,6,3,1,5,3,-1,100,92,76,1023,1015,1008,14,5,0,16,8,,2.29,7,Fog-Rain,22<br />
2002-3-14,17,11,5,5,1,-7,93,61,23,1020,1013,1007,16,13,3,23,13,32,0.00,3,,314<br />
2002-3-15,9,7,4,7,4,-1,100,85,68,1022,1017,1012,16,10,1,29,11,,0.00,7,Fog,48<br />
2002-3-16,8,4,-1,6,3,-7,100,87,57,1028,1014,1010,16,7,0,29,10,34,15.49,7,Fog-Rain,15<br />
2002-3-17,3,0,-3,-4,-7,-8,71,58,46,1034,1033,1030,16,16,16,16,13,,0.00,5,,80<br />
2002-3-18,2,1,0,2,-1,-4,100,88,62,1033,1029,1025,16,7,1,32,16,42,1.78,8,Fog-Rain-Snow,112<br />
2002-3-19,3,2,1,1,1,-1,100,89,79,1032,1028,1025,16,14,5,23,13,,1.78,8,Rain-Snow,78<br />
2002-3-20,4,2,1,4,1,-2,100,88,63,1032,1020,1007,16,8,1,37,19,48,11.43,8,Rain-Snow,115<br />
2002-3-21,9,5,1,2,0,-3,89,72,55,1013,1008,1002,16,16,16,40,26,53,0.00,4,Rain,273<br />
2002-3-22,1,-3,-7,-7,-15,-19,64,42,29,1015,1010,1003,16,16,10,47,37,66,0.00,3,Snow,285<br />
2002-3-23,6,1,-4,-4,-10,-14,60,46,33,1016,1013,1009,16,16,16,42,29,53,0.00,2,,235<br />
2002-3-24,9,6,2,-4,-7,-9,57,43,31,1020,1017,1013,16,16,16,39,23,52,0.00,5,,290<br />
2002-3-25,6,2,-1,-1,-5,-10,100,62,34,1032,1027,1021,16,14,2,27,18,,0.00,8,Snow,49<br />
2002-3-26,6,4,3,6,1,-7,100,81,48,1033,1026,1012,16,8,1,40,21,47,12.70,8,Rain,81<br />
2002-3-27,9,7,4,7,3,-3,100,87,60,1015,1012,1010,16,10,1,27,10,37,9.65,8,Rain,306<br />
2002-3-28,12,7,2,-3,-4,-5,62,48,31,1019,1016,1015,16,16,16,29,21,37,0.00,2,,302<br />
2002-3-29,14,8,3,3,0,-3,79,60,35,1022,1020,1017,16,16,16,27,13,,0.00,5,,183<br />
2002-3-30,17,12,7,13,7,-3,94,73,32,1018,1013,1010,16,13,5,39,18,52,3.81,7,Rain,208<br />
2002-3-31,13,10,7,7,3,-1,96,66,47,1020,1017,1012,16,15,6,19,6,,3.81,8,Rain,89<br />
2002-4-1,13,9,6,7,4,-4,100,80,45,1012,1006,1002,16,10,2,52,24,71,23.88,6,Rain,336<br />
2002-4-2,14,9,4,3,-2,-4,79,50,30,1019,1016,1013,16,16,16,35,24,47,0.00,3,,234<br />
2002-4-3,19,11,4,13,8,2,93,80,66,1015,1011,1005,16,15,8,40,24,53,4.06,7,Rain,241<br />
2002-4-4,9,6,3,0,-4,-7,76,51,36,1024,1020,1016,16,16,16,29,19,37,0.00,1,,297<br />
2002-4-5,6,3,0,0,-4,-9,93,67,48,1024,1021,1017,16,12,1,26,14,,0.76,5,Fog-Snow,342<br />
2002-4-6,7,4,-1,-1,-8,-16,89,48,20,1025,1019,1017,16,16,16,26,18,37,0.25,4,,326<br />
2002-4-7,8,3,-2,-5,-11,-14,51,38,20,1029,1028,1026,16,16,16,24,18,29,0.00,2,,257<br />
2002-4-8,13,8,4,0,-1,-5,70,52,39,1029,1028,1026,16,16,16,29,23,42,0.00,8,Rain,211<br />
2002-4-9,22,16,9,12,8,-1,89,68,47,1026,1021,1017,16,16,16,45,24,55,0.00,7,Rain,201<br />
2002-4-10,18,13,9,13,5,-1,90,60,29,1034,1025,1017,16,15,10,29,21,40,2.54,3,Rain,292<br />
2002-4-11,10,7,6,3,2,-1,85,68,50,1041,1038,1035,16,16,16,27,16,,0.00,2,,81<br />
2002-4-12,18,11,4,9,7,3,96,76,52,1038,1033,1027,16,16,16,35,13,42,0.00,4,,172<br />
2002-4-13,24,18,13,14,13,10,94,73,49,1027,1022,1019,16,16,13,35,24,48,0.00,6,,219<br />
2002-4-14,23,17,10,14,11,6,94,75,32,1020,1017,1015,16,16,14,34,23,45,0.25,7,Rain,224<br />
2002-4-15,14,10,7,13,9,7,100,95,88,1018,1015,1013,16,3,0,24,16,,2.29,6,Fog-Rain,101<br />
2002-4-16,23,14,7,15,9,7,100,89,61,1019,1017,1015,16,6,0,21,5,,0.00,4,Fog,108<br />
2002-4-17,34,23,13,14,12,9,86,53,22,1016,1014,1010,16,15,13,42,16,55,0.00,4,,289<br />
2002-4-18,13,10,8,11,9,8,100,91,84,1021,1018,1016,14,6,0,24,14,,0.00,7,Fog-Rain-Thunderstorm,59<br />
2002-4-19,25,16,7,16,11,7,100,87,47,1020,1013,1007,16,7,0,47,13,55,0.25,7,Fog-Rain-Thunderstorm,127<br />
2002-4-20,21,16,11,14,7,3,77,56,40,1011,1009,1007,16,16,16,21,14,,0.25,4,Rain,303<br />
2002-4-21,13,10,7,0,-7,-12,50,32,19,1017,1014,1011,16,16,16,29,19,42,0.00,6,,328<br />
2002-4-22,7,6,4,3,1,-7,93,77,38,1017,1012,1008,16,12,4,34,24,39,2.29,8,Rain,85<br />
2002-4-23,8,4,1,2,-1,-3,93,71,46,1020,1015,1010,16,15,4,26,16,,0.00,7,Rain-Snow,335<br />
2002-4-24,11,7,4,3,-1,-3,79,58,43,1025,1023,1020,16,16,16,26,16,,0.00,1,,112<br />
2002-4-25,15,8,2,6,2,-3,97,74,33,1025,1019,1014,16,13,5,34,18,42,18.03,5,Rain-Snow-Thunderstorm,161<br />
2002-4-26,10,6,2,2,-2,-5,93,60,39,1025,1017,1013,16,16,16,35,23,50,0.76,3,Rain,289<br />
2002-4-27,16,9,3,6,-4,-8,83,44,21,1028,1026,1023,16,16,16,27,14,37,0.00,2,,285<br />
2002-4-28,9,7,4,7,6,3,100,89,71,1025,1014,1000,16,10,3,39,19,53,9.14,8,Rain,75<br />
2002-4-29,6,3,2,3,1,-1,96,79,67,1007,1003,1000,16,14,5,35,19,50,2.03,8,Rain,343<br />
2002-4-30,11,7,3,5,2,-1,93,72,46,1010,1008,1007,16,16,13,32,13,,0.00,6,Rain,257<br />
2002-5-1,16,11,6,4,1,-2,85,52,34,1014,1010,1007,16,16,16,32,21,47,0.00,2,,267<br />
2002-5-2,13,8,7,8,6,1,98,87,58,1014,1005,998,16,8,1,26,10,,13.21,8,Fog-Rain-Thunderstorm,80<br />
2002-5-3,13,10,7,8,1,-7,100,63,27,1015,1004,999,16,15,8,55,19,84,1.78,4,Rain-Thunderstorm,274<br />
2002-5-4,20,14,8,2,-1,-4,61,39,19,1023,1021,1016,16,16,16,35,23,45,0.00,0,,275<br />
2002-5-5,20,14,9,8,3,0,61,48,34,1025,1023,1022,16,16,16,29,14,40,0.00,3,,179<br />
2002-5-6,25,18,10,9,7,6,80,56,31,1026,1023,1019,16,16,16,37,19,42,0.00,3,,208<br />
2002-5-7,24,18,13,15,11,4,80,64,53,1020,1014,1010,16,16,16,35,21,47,0.00,6,,208<br />
2002-5-8,19,14,11,14,6,1,78,59,44,1025,1021,1013,16,16,16,32,19,29,0.00,5,,85<br />
2002-5-9,13,11,9,12,7,2,96,79,56,1025,1021,1014,16,15,10,24,13,,1.27,8,Rain,102<br />
2002-5-10,24,18,13,12,8,-4,96,64,20,1021,1014,1012,16,14,3,35,16,47,7.37,4,Rain,256<br />
2002-5-11,19,14,10,-1,-3,-4,44,31,20,1028,1026,1022,16,16,16,26,21,39,0.00,2,,295<br />
2002-5-12,14,11,8,9,6,-1,100,76,39,1029,1023,1017,16,11,4,26,14,,9.14,8,Rain,98<br />
2002-5-13,14,8,7,9,7,0,100,94,54,1016,1012,1001,16,5,2,47,26,58,39.88,8,Rain,78<br />
2002-5-14,17,12,7,7,5,2,100,76,38,1000,996,994,16,14,5,37,27,52,7.62,6,Rain,280<br />
2002-5-15,16,11,6,3,1,-3,74,52,36,1015,1007,999,16,16,16,50,29,61,0.00,4,Rain,278<br />
2002-5-16,26,17,9,9,4,-3,60,41,28,1017,1013,1008,16,16,16,40,23,53,0.00,4,,232<br />
2002-5-17,22,19,14,13,9,2,72,54,33,1012,1008,1006,16,16,16,26,21,39,0.00,7,,285<br />
2002-5-18,11,7,3,7,4,2,100,86,74,1013,1008,1006,16,11,3,39,24,47,27.69,7,Rain,13<br />
2002-5-19,15,9,4,4,-1,-4,79,51,29,1021,1017,1013,16,16,16,24,18,34,0.00,2,,300<br />
2002-5-20,14,9,6,3,-2,-6,60,46,29,1022,1020,1019,16,16,16,23,13,26,4.32,4,,338<br />
2002-5-21,17,11,6,2,0,-3,65,46,32,1023,1020,1019,16,16,16,24,16,37,0.00,4,Rain,296<br />
2002-5-22,20,14,9,7,3,-1,66,48,28,1026,1024,1022,16,16,16,27,16,,0.00,0,,255<br />
2002-5-23,25,17,10,9,5,3,68,48,27,1023,1019,1014,16,16,16,26,18,37,0.00,0,,221<br />
2002-5-24,29,20,11,14,9,3,65,47,27,1014,1009,1005,16,16,16,26,19,39,0.00,3,Rain,248<br />
2002-5-25,19,14,10,11,3,-1,80,53,43,1024,1021,1012,16,16,16,35,24,45,0.00,2,,84<br />
2002-5-26,21,16,10,14,9,7,87,72,52,1023,1022,1021,16,16,13,32,18,39,0.00,7,Rain,202<br />
2002-5-27,21,17,14,16,13,11,93,81,54,1023,1022,1020,16,13,8,23,10,,0.00,7,Rain-Thunderstorm,128<br />
2002-5-28,22,17,13,17,14,12,97,90,73,1023,1023,1021,16,6,0,19,11,,0.00,8,Rain-Thunderstorm,107<br />
2002-5-29,20,16,12,18,14,12,100,93,81,1024,1022,1019,16,4,0,21,8,,0.00,7,Fog-Rain-Thunderstorm,70<br />
2002-5-30,28,21,15,17,16,14,100,79,49,1019,1015,1012,16,13,5,27,16,,0.00,7,,203<br />
2002-5-31,28,23,18,18,17,16,94,78,52,1012,1005,1000,16,15,2,40,23,58,3.05,6,Rain-Thunderstorm,212<br />
2002-6-1,30,24,19,16,9,4,84,43,22,1002,1000,997,16,16,16,39,29,58,0.00,2,,254<br />
2002-6-2,24,19,15,13,8,3,77,48,31,1008,1001,997,16,16,6,37,23,52,1.27,5,Rain,291<br />
2002-6-3,22,17,12,4,2,-1,55,39,24,1020,1014,1009,16,16,16,29,18,39,0.00,2,,316<br />
2002-6-4,20,16,11,12,6,3,75,55,39,1025,1022,1020,16,16,16,34,14,,0.00,3,,108<br />
2002-6-5,23,19,16,18,16,10,88,77,67,1021,1014,1010,16,15,13,35,23,42,0.25,7,Rain,205<br />
2002-6-6,22,17,12,19,16,11,100,93,83,1017,1013,1009,16,8,2,35,19,39,24.64,8,Rain-Thunderstorm,57<br />
2002-6-7,14,12,10,12,10,6,100,86,69,1026,1022,1017,16,12,3,34,18,45,17.02,6,Rain,28<br />
2002-6-8,17,13,9,10,7,4,86,67,47,1028,1025,1023,16,16,16,29,13,,0.00,3,,103<br />
2002-6-9,27,19,12,16,12,7,75,62,47,1023,1017,1012,16,16,16,27,19,42,0.00,6,,244<br />
2002-6-10,24,20,16,13,9,6,72,53,37,1020,1017,1015,16,16,16,23,18,,0.00,5,,357<br />
2002-6-11,32,22,13,19,13,10,94,74,45,1018,1012,1007,16,14,2,45,23,47,6.10,6,Rain,230<br />
2002-6-12,13,12,11,11,11,9,94,91,86,1012,1009,1007,16,11,3,34,16,,4.06,8,Rain,26<br />
2002-6-13,17,13,11,13,11,9,96,86,75,1014,1012,1011,16,14,3,24,14,,0.00,7,,72<br />
2002-6-14,16,13,12,13,12,11,100,92,83,1012,1011,1011,16,10,1,26,13,,1.02,7,Rain,121<br />
2002-6-15,13,11,10,12,11,8,97,92,86,1010,1007,1004,16,7,2,39,26,50,18.80,8,Rain,35<br />
2002-6-16,14,12,10,12,11,8,100,89,81,1009,1008,1007,16,12,2,29,13,,5.59,7,Rain-Thunderstorm,36<br />
2002-6-17,25,18,13,14,12,9,100,76,38,1014,1010,1008,16,10,1,35,10,42,5.08,6,Rain-Thunderstorm,227<br />
2002-6-18,25,20,15,14,12,9,87,62,37,1024,1019,1014,16,16,16,19,13,35,0.00,2,,280<br />
2002-6-19,21,18,15,14,13,12,93,76,65,1031,1028,1024,16,16,11,19,8,,0.51,4,Rain,61<br />
2002-6-20,23,18,14,16,14,12,94,76,55,1034,1032,1031,16,12,4,24,8,,0.25,1,,82<br />
2002-6-21,29,22,16,17,14,12,80,62,44,1032,1029,1026,16,16,16,32,16,37,0.00,2,,209<br />
2002-6-22,28,22,17,19,16,14,97,77,54,1027,1026,1024,16,10,3,29,16,,1.02,7,Rain,34<br />
2002-6-23,28,21,16,20,17,15,100,87,66,1026,1022,1014,13,5,0,29,10,,2.03,8,Fog-Rain,99<br />
2002-6-24,30,27,22,19,10,3,74,41,20,1018,1015,1012,16,15,8,32,23,42,0.00,3,Rain,301<br />
2002-6-25,29,23,18,15,9,4,57,44,28,1020,1018,1016,16,16,16,24,14,,0.00,2,,209<br />
2002-6-26,34,27,20,22,18,11,78,59,41,1017,1013,1009,16,10,5,32,19,40,0.00,5,,230<br />
2002-6-27,33,27,22,22,20,19,87,71,44,1009,1006,1003,16,11,1,40,21,74,33.02,7,Rain-Hail-Thunderstorm,257<br />
2002-6-28,29,25,21,21,19,16,93,75,53,1012,1008,1004,16,15,10,29,14,35,0.76,6,Rain,278<br />
2002-6-29,24,20,17,17,16,13,100,72,53,1022,1019,1012,16,14,1,23,16,,0.00,3,Fog,52<br />
2002-6-30,29,23,18,19,18,16,96,76,56,1024,1022,1020,16,14,2,27,13,,0.00,5,,183<br />
