GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,13,9,5,11,8,2,100,92,81,1009,994,988,10,8,3,34,18,,0.00,7,Rain,205<br />
2003-1-2,11,9,8,10,7,5,94,87,81,992,986,978,10,9,3,32,19,,0.00,6,Rain,239<br />
2003-1-3,9,4,1,7,3,-1,93,83,71,1005,998,992,10,10,9,27,18,,0.00,5,Rain-Snow,315<br />
2003-1-4,4,2,0,0,-2,-5,93,78,52,1018,1013,1006,10,10,2,19,13,,0.00,5,Snow,359<br />
2003-1-5,4,1,-2,0,-1,-3,100,88,75,1018,1015,1013,10,8,5,10,5,,0.00,2,,316<br />
2003-1-6,4,1,-2,0,-3,-7,100,74,45,1021,1018,1014,10,9,4,24,10,,0.00,2,,27<br />
2003-1-7,1,-1,-2,-1,-3,-6,93,80,60,1021,1019,1017,10,9,2,29,13,,0.00,5,Snow,73<br />
2003-1-8,1,-2,-4,-1,-3,-6,93,84,75,1017,1016,1015,10,7,1,19,8,,0.00,6,Snow,48<br />
2003-1-9,3,1,-1,1,-3,-6,93,77,52,1025,1022,1017,10,10,10,27,16,,0.00,4,,30<br />
2003-1-10,5,3,1,2,1,-3,93,84,70,1031,1027,1025,10,10,8,29,19,,0.00,5,Rain,356<br />
2003-1-11,3,0,-3,-1,-3,-4,93,81,65,1037,1035,1031,10,9,3,23,11,,0.00,2,,23<br />
2003-1-12,5,0,-5,2,-2,-6,100,84,65,1037,1034,1030,10,6,2,24,8,,0.00,3,Fog,229<br />
2003-1-13,12,8,4,7,6,2,93,82,67,1030,1028,1027,10,10,10,35,23,,0.00,6,,255<br />
2003-1-14,11,9,8,6,4,2,87,71,58,1029,1028,1025,10,10,10,40,26,61,0.00,7,,236<br />
2003-1-15,10,8,5,8,4,3,93,76,62,1024,1021,1018,10,10,5,35,27,50,0.00,6,Rain,232<br />
2003-1-16,10,7,3,6,4,2,93,83,71,1028,1025,1022,10,10,10,29,18,,0.00,4,,215<br />
2003-1-17,9,7,3,6,4,2,93,86,71,1021,1013,1009,10,9,5,32,24,50,0.00,7,Rain,203<br />
2003-1-18,10,6,2,7,4,1,100,87,66,1015,1011,1002,10,10,6,29,14,45,0.00,6,Rain,185<br />
2003-1-19,10,8,6,7,6,4,100,89,71,1001,997,994,10,9,4,24,18,,0.00,5,Rain,197<br />
2003-1-20,10,8,6,8,7,5,93,89,81,999,989,985,10,9,4,45,24,64,0.00,6,Rain,185<br />
2003-1-21,9,7,6,7,6,4,100,85,71,985,981,979,10,9,4,32,21,50,0.00,6,Rain,181<br />
2003-1-22,9,7,5,6,4,2,100,81,66,1007,993,982,10,10,9,27,18,,0.00,6,Rain,273<br />
2003-1-23,9,4,1,3,2,0,93,75,62,1036,1025,1008,10,10,10,26,19,45,0.00,4,,317<br />
2003-1-24,10,5,0,7,3,-1,93,84,71,1037,1036,1033,10,10,10,24,10,,0.00,6,,207<br />
2003-1-25,13,9,5,9,5,2,94,77,54,1033,1029,1027,10,10,8,26,21,,0.00,5,Rain,247<br />
2003-1-26,13,9,6,11,8,3,100,89,81,1031,1029,1027,10,10,4,24,14,,0.00,7,Fog-Rain,250<br />
2003-1-27,15,10,6,10,8,5,100,87,67,1030,1027,1022,10,8,2,39,16,,0.00,5,Fog-Rain,245<br />
2003-1-28,9,7,5,4,1,-1,93,70,58,1023,1016,1007,10,10,4,47,32,71,0.00,4,Rain,275<br />
2003-1-29,7,4,2,2,-2,-5,76,60,49,1015,1011,1007,10,10,10,47,31,80,0.00,3,Rain,318<br />
2003-1-30,3,1,0,1,-2,-6,100,77,56,1017,1010,1006,10,8,1,50,24,76,0.00,4,Rain-Snow,323<br />
2003-1-31,3,0,-2,-2,-4,-6,93,72,56,1024,1022,1017,10,10,6,35,23,,0.00,4,Snow,304<br />
2003-2-1,8,4,0,4,1,-4,100,87,70,1021,1014,1012,10,7,1,21,14,,0.00,6,Fog-Rain-Snow,242<br />
2003-2-2,8,4,2,5,2,1,93,81,66,1012,1004,997,10,10,4,42,21,53,0.00,6,Rain,236<br />
2003-2-3,7,3,0,2,-1,-5,87,70,43,997,994,992,10,10,10,34,27,53,0.00,3,,261<br />
2003-2-4,6,2,-1,0,-3,-5,93,70,49,1008,1000,993,10,10,9,35,21,61,0.00,3,Rain-Snow,296<br />
2003-2-5,5,1,-3,-1,-3,-6,93,75,45,1018,1013,1008,10,10,8,21,14,,0.00,3,,305<br />
2003-2-6,7,1,-4,7,1,-4,100,89,71,1019,1017,1016,10,8,3,21,8,,0.00,6,Fog-Rain,190<br />
2003-2-7,11,8,6,8,7,5,100,88,76,1020,1019,1017,10,9,3,19,11,,0.00,7,Fog-Rain,225<br />
2003-2-8,11,9,8,8,7,6,93,84,71,1021,1019,1016,10,10,7,24,16,,0.00,7,Rain,202<br />
2003-2-9,8,7,6,7,6,3,100,87,76,1020,1015,1011,10,9,7,23,16,,0.00,7,Rain,260<br />
2003-2-10,7,6,4,5,4,3,93,89,81,1021,1020,1020,10,9,5,19,8,,0.00,7,Rain,183<br />
2003-2-11,7,6,5,6,5,4,100,94,87,1027,1024,1021,10,7,2,13,8,,0.00,8,Rain,179<br />
2003-2-12,8,6,4,6,5,2,100,94,87,1028,1027,1026,9,3,1,16,10,,0.00,8,Rain,47<br />
2003-2-13,4,2,0,2,-2,-5,87,76,56,1028,1027,1026,10,8,5,19,14,,0.00,6,,59<br />
2003-2-14,4,1,-2,-1,-3,-4,93,76,56,1034,1030,1027,8,6,4,23,13,,0.00,2,,31<br />
2003-2-15,5,1,-2,1,-1,-4,93,81,70,1036,1035,1034,10,10,8,24,13,,0.00,6,,45<br />
2003-2-16,4,2,0,-1,-3,-4,81,72,60,1038,1037,1035,10,7,4,23,16,,0.00,5,Snow,79<br />
2003-2-17,4,2,-1,0,-4,-5,100,71,52,1038,1036,1033,10,10,10,23,14,,0.00,4,,71<br />
2003-2-18,5,1,-3,-3,-4,-7,86,69,42,1033,1026,1020,10,9,8,24,13,40,0.00,0,,87<br />
2003-2-19,5,1,-2,-3,-5,-7,80,65,42,1020,1013,1009,10,9,8,26,16,,0.00,5,,83<br />
2003-2-20,9,4,1,3,0,-4,93,75,65,1016,1012,1009,10,8,5,19,14,37,0.00,4,,110<br />
2003-2-21,12,6,0,4,2,-1,100,77,47,1023,1020,1016,10,6,2,16,6,,0.00,1,Fog,112<br />
2003-2-22,9,4,1,2,1,1,100,79,58,1023,1021,1019,5,3,1,23,11,,0.00,2,,78<br />
2003-2-23,13,8,4,8,6,1,100,80,63,1026,1022,1019,10,8,3,23,13,,0.00,6,Rain,167<br />
2003-2-24,14,9,4,8,5,2,100,82,54,1025,1022,1019,10,4,0,23,8,,0.00,6,Fog,94<br />
2003-2-25,13,8,4,2,1,-1,75,61,44,1019,1015,1012,9,9,8,26,14,,0.00,5,,96<br />
2003-2-26,15,10,6,4,2,0,76,63,48,1012,1010,1008,9,8,5,21,13,,0.00,6,,103<br />
2003-2-27,13,10,7,8,5,2,93,72,54,1015,1011,1008,10,9,3,26,11,,0.00,6,Rain,132<br />
2003-2-28,11,9,7,9,7,4,94,87,71,1017,1014,1008,10,9,5,40,19,60,0.00,7,Rain,187<br />
2003-3-1,13,9,5,9,7,4,100,88,67,1015,1011,1007,10,9,2,24,16,,0.00,6,Rain,179<br />
2003-3-2,11,8,4,6,3,0,100,74,47,1017,1012,1007,10,10,10,23,11,,0.00,4,,265<br />
2003-3-3,9,4,1,6,2,0,93,78,54,1018,1017,1016,10,9,5,23,10,,0.00,7,Rain,153<br />
2003-3-4,14,10,7,10,8,6,100,88,63,1015,1014,1012,10,8,3,29,18,,0.00,7,Rain,183<br />
2003-3-5,13,9,5,10,7,4,94,80,63,1013,1011,1010,10,9,4,27,19,,0.00,8,Rain,206<br />
2003-3-6,12,7,3,6,3,-1,100,76,44,1020,1016,1012,10,9,3,24,13,,0.00,4,,255<br />
2003-3-7,11,8,5,6,4,3,100,82,58,1020,1013,1008,10,10,6,48,21,71,0.00,6,Rain,191<br />
2003-3-8,11,8,6,7,4,2,82,75,66,1017,1015,1011,10,10,6,45,34,60,0.00,6,Rain,227<br />
2003-3-9,13,11,9,9,6,5,88,72,58,1018,1016,1015,10,10,10,40,29,58,0.00,6,,222<br />
2003-3-10,13,10,8,7,7,5,93,78,63,1020,1019,1016,10,10,10,34,21,52,0.00,5,,209<br />
2003-3-11,12,9,6,7,6,4,93,74,62,1017,1014,1012,10,10,10,34,24,,0.00,6,Rain,233<br />
2003-3-12,9,7,5,6,2,-2,93,71,50,1038,1030,1018,10,9,4,42,19,50,0.00,5,Rain,360<br />
2003-3-13,9,7,3,1,-1,-1,81,66,50,1039,1037,1035,10,10,10,23,18,,0.00,4,,65<br />
2003-3-14,11,6,2,3,-3,-12,100,60,20,1035,1034,1033,10,7,4,37,16,50,0.00,2,,66<br />
2003-3-15,10,6,2,2,1,-3,93,71,40,1040,1037,1034,10,8,6,27,14,,0.00,1,,77<br />
2003-3-16,14,8,3,3,1,-1,93,66,38,1041,1040,1039,9,6,5,21,11,,0.00,1,,88<br />
2003-3-17,16,8,1,3,1,-3,87,65,27,1039,1037,1034,9,6,3,19,8,,0.00,3,,39<br />
2003-3-18,12,7,3,3,1,0,81,69,47,1036,1034,1032,9,6,3,23,14,32,0.00,7,,70<br />
2003-3-19,14,7,1,4,2,0,100,70,38,1033,1031,1029,10,5,0,11,5,,0.00,2,Fog,261<br />
2003-3-20,15,8,1,4,2,-1,93,68,38,1029,1028,1026,9,7,4,23,8,,0.00,4,,290<br />
2003-3-21,10,7,4,5,3,1,93,76,58,1027,1026,1025,8,5,3,21,11,,0.00,4,,36<br />
2003-3-22,13,7,1,3,1,-2,93,70,38,1025,1023,1021,9,5,2,21,11,,0.00,2,,59<br />
2003-3-23,19,10,1,4,2,0,93,60,30,1023,1022,1021,9,6,3,23,10,,0.00,0,,98<br />
2003-3-24,17,11,6,7,5,3,87,68,45,1025,1023,1021,9,7,4,27,11,,0.00,3,,211<br />
2003-3-25,17,11,6,7,6,4,100,70,45,1024,1023,1021,9,4,2,14,6,,0.00,3,Fog,299<br />
2003-3-26,17,11,6,6,5,4,87,69,48,1021,1020,1018,6,4,3,21,10,,0.00,5,,65<br />
2003-3-27,17,11,6,5,1,-3,87,57,27,1018,1017,1016,8,4,3,21,11,,0.00,4,,62<br />
2003-3-28,15,9,4,6,4,3,93,73,51,1016,1013,1011,6,3,1,16,13,,0.00,6,Rain,70<br />
2003-3-29,16,12,9,8,7,6,82,69,55,1017,1014,1011,4,3,3,19,8,,0.00,6,,18<br />
2003-3-30,16,11,7,7,3,2,81,59,39,1024,1019,1017,10,7,4,23,14,,0.00,6,,20<br />
2003-3-31,14,9,4,4,1,-2,87,60,38,1027,1025,1023,10,10,10,19,10,,0.00,1,,103<br />
2003-4-1,12,8,4,9,4,1,94,77,58,1023,1013,1006,10,9,5,37,18,60,0.00,5,Rain,239<br />
2003-4-2,11,8,5,2,0,-2,81,61,43,1022,1015,1010,10,10,10,37,23,55,0.00,3,Rain,328<br />
2003-4-3,13,8,4,4,1,-1,75,60,44,1031,1027,1022,10,10,10,29,13,,0.00,4,,348<br />
2003-4-4,20,13,6,8,6,4,87,66,37,1033,1031,1028,10,10,10,26,13,,0.00,3,,328<br />
2003-4-5,16,12,8,6,4,0,81,62,36,1034,1033,1032,10,10,10,27,16,,0.00,5,,18<br />
2003-4-6,10,7,4,6,3,-1,76,69,58,1032,1030,1029,10,10,10,26,16,,0.00,7,,16<br />
2003-4-7,10,6,2,-1,-3,-6,81,57,37,1029,1027,1025,10,10,10,24,13,35,0.00,2,,66<br />
2003-4-8,9,4,0,-2,-4,-6,80,57,37,1027,1024,1022,10,10,10,21,11,,0.00,4,,64<br />
2003-4-9,8,4,0,0,-4,-7,80,59,39,1022,1017,1014,10,10,10,27,14,,0.00,5,,42<br />
2003-4-10,8,4,1,3,-1,-6,93,69,52,1014,1010,1009,10,10,6,27,14,,0.00,6,Rain-Snow,351<br />
2003-4-11,10,5,0,3,0,-1,100,73,50,1011,1010,1009,10,8,4,13,6,,0.00,4,Fog,198<br />
2003-4-12,14,7,1,2,-1,-2,87,58,33,1017,1013,1011,10,9,6,23,10,,0.00,4,Rain,86<br />
2003-4-13,18,12,6,7,4,0,87,58,32,1019,1016,1012,10,8,4,34,18,48,0.00,5,,102<br />
2003-4-14,18,14,12,7,6,4,67,53,42,1014,1012,1010,10,10,10,26,16,,0.00,6,Rain,87<br />
2003-4-15,23,17,11,8,6,3,71,52,31,1021,1017,1014,10,8,6,19,10,35,0.00,6,,80<br />
2003-4-16,26,17,9,7,4,-2,76,47,16,1025,1023,1021,9,6,4,29,10,42,0.00,0,,58<br />
2003-4-17,22,16,11,6,3,-1,67,43,23,1030,1027,1025,9,8,7,27,14,,0.00,0,,61<br />
2003-4-18,21,16,9,5,2,-3,71,46,21,1030,1029,1025,9,8,6,29,18,,0.00,0,,51<br />
2003-4-19,11,8,6,5,2,0,87,71,47,1025,1020,1014,10,10,6,35,23,55,0.00,6,Rain,51<br />
2003-4-20,15,11,7,7,4,1,87,70,42,1014,1009,1007,10,8,4,34,21,50,0.00,6,Rain,66<br />
2003-4-21,15,12,8,10,6,2,94,71,44,1014,1010,1007,10,7,2,27,16,47,0.00,6,,159<br />
2003-4-22,17,11,6,7,4,1,93,65,34,1017,1016,1014,10,7,3,16,10,,0.00,2,Fog,219<br />
2003-4-23,18,12,7,6,3,1,87,55,32,1018,1017,1017,9,6,5,26,13,,0.00,4,,75<br />
2003-4-24,16,11,7,11,7,3,87,73,55,1017,1015,1013,10,6,4,16,11,32,0.00,6,Rain,107<br />
2003-4-25,18,14,10,12,9,6,94,75,45,1015,1010,1006,10,9,7,29,11,35,0.00,7,Rain,152<br />
2003-4-26,17,12,8,9,7,3,100,76,42,1007,1004,1002,10,10,10,34,14,,0.00,5,Rain,205<br />
2003-4-27,17,13,10,10,7,4,87,69,42,1005,1005,1004,10,10,8,37,24,,0.00,5,Rain,217<br />
2003-4-28,15,12,10,13,11,9,94,89,82,1004,996,993,10,9,3,32,21,,0.00,7,Rain,194<br />
2003-4-29,18,13,9,11,8,5,94,73,45,1008,1005,998,10,10,10,37,23,,0.00,4,Rain,207<br />
2003-4-30,18,14,10,9,7,4,94,74,40,1008,1006,1004,10,10,4,37,16,58,0.00,6,Rain,207<br />
2003-5-1,17,13,9,9,7,4,87,71,42,1013,1011,1008,10,10,5,40,23,58,0.00,5,Rain,216<br />
2003-5-2,14,11,9,10,8,5,94,85,55,1012,1003,996,10,9,3,42,18,61,0.00,7,Rain,177<br />
2003-5-3,15,11,8,8,7,5,87,71,51,1018,1016,1008,10,10,10,35,27,,0.00,6,Rain,225<br />
2003-5-4,22,14,8,10,7,4,93,52,33,1016,1009,1005,10,10,10,32,18,,0.00,4,,184<br />
2003-5-5,17,14,10,10,6,2,82,60,39,1016,1010,1007,10,10,10,32,21,,0.00,6,Rain,241<br />
2003-5-6,17,11,6,5,4,3,87,60,39,1026,1022,1016,10,10,10,19,11,,0.00,2,,275<br />
2003-5-7,19,12,6,7,4,1,87,59,30,1027,1023,1019,10,10,10,23,11,,0.00,6,,217<br />
2003-5-8,15,11,8,9,6,4,93,67,48,1020,1019,1018,10,10,10,16,11,,0.00,6,,272<br />
2003-5-9,18,13,9,8,5,0,87,61,32,1019,1018,1016,10,10,10,27,10,,0.00,3,,246<br />
2003-5-10,15,10,6,8,6,4,93,72,48,1020,1019,1017,10,10,10,27,14,,0.00,5,Rain,206<br />
2003-5-11,17,11,6,9,6,4,93,73,42,1019,1017,1015,10,10,10,24,14,,0.00,4,Rain,205<br />
2003-5-12,14,10,7,9,6,3,93,77,54,1015,1013,1011,10,10,7,32,18,48,0.00,5,Rain-Thunderstorm,226<br />
2003-5-13,13,8,4,6,4,0,93,76,44,1018,1016,1014,10,10,10,32,18,50,0.00,3,Rain-Thunderstorm,262<br />
2003-5-14,15,10,5,6,3,-2,87,64,31,1024,1021,1018,10,10,10,27,18,47,0.00,4,Rain,289<br />
2003-5-15,17,11,5,5,2,-2,93,56,31,1024,1022,1019,10,10,10,21,8,,0.00,2,,172<br />
2003-5-16,12,10,9,10,7,2,94,83,62,1018,1012,1008,10,9,5,27,13,,0.00,8,Rain,148<br />
2003-5-17,16,13,11,12,11,9,94,86,67,1008,1005,1002,10,9,5,32,19,45,0.00,6,Rain,195<br />
2003-5-18,16,13,11,10,9,8,88,75,59,1008,1007,1005,10,10,10,37,24,55,0.00,6,Rain,214<br />
2003-5-19,16,12,9,10,8,6,93,76,55,1010,1007,1005,10,10,2,39,19,69,0.00,5,Rain-Thunderstorm,219<br />
2003-5-20,14,11,8,9,7,5,87,75,63,1018,1013,1010,10,10,6,39,27,55,0.00,5,Rain,243<br />
2003-5-21,16,13,10,13,9,6,94,78,52,1022,1021,1019,10,10,7,27,21,,0.00,7,Rain,240<br />
2003-5-22,18,16,13,13,12,10,94,82,59,1021,1019,1015,10,10,8,29,24,,0.00,7,Rain,239<br />
2003-5-23,18,14,10,11,9,8,88,73,52,1015,1010,1006,10,10,10,35,24,58,0.00,6,Rain,217<br />
2003-5-24,17,13,10,10,7,4,94,71,42,1009,1006,1005,10,10,10,24,11,,0.00,5,Rain,226<br />
2003-5-25,17,13,9,10,8,5,88,70,45,1020,1014,1009,10,10,10,26,14,,0.00,4,Rain,275<br />
2003-5-26,20,14,9,9,7,2,94,66,35,1025,1023,1020,10,10,10,21,10,,0.00,3,Fog,227<br />
2003-5-27,17,13,11,13,11,9,94,79,68,1026,1025,1025,10,10,7,16,10,,0.00,7,,204<br />
2003-5-28,23,17,12,13,11,8,100,64,38,1025,1023,1020,10,9,6,19,8,,0.00,4,Fog,128<br />
2003-5-29,25,18,12,12,10,8,88,59,34,1021,1018,1016,10,7,6,19,10,,0.00,6,,73<br />
2003-5-30,27,20,13,14,11,9,82,57,36,1017,1015,1013,10,8,5,13,10,,0.00,3,,70<br />
2003-5-31,29,22,16,16,14,11,82,59,40,1014,1012,1010,10,9,6,24,11,42,0.00,1,,150<br />
2003-6-1,23,19,15,17,14,10,88,76,60,1011,1009,1007,10,10,10,21,11,,0.00,6,Rain,179<br />
2003-6-2,23,19,14,15,12,9,88,72,46,1012,1008,1006,10,10,7,26,13,,0.00,5,Rain-Thunderstorm,208<br />
2003-6-3,21,16,12,16,12,8,88,72,49,1011,1010,1008,10,10,8,27,11,37,0.00,5,Rain,165<br />
2003-6-4,21,17,14,15,13,10,94,78,60,1013,1010,1009,10,10,7,26,11,,0.00,5,Rain,190<br />
2003-6-5,21,16,11,11,8,7,88,63,40,1020,1018,1013,10,10,10,27,18,,0.00,3,,217<br />
2003-6-6,19,16,12,15,12,8,94,82,52,1020,1018,1017,10,10,4,27,16,,0.00,6,Rain,192<br />
2003-6-7,23,19,15,15,12,7,94,71,46,1017,1015,1014,10,9,4,27,16,,0.00,6,Rain,204<br />
2003-6-8,22,17,12,15,10,7,88,73,43,1016,1011,1008,10,10,3,40,14,55,0.00,5,Rain-Thunderstorm,239<br />
2003-6-9,21,16,10,11,8,2,87,61,34,1019,1017,1013,10,10,10,24,16,,0.00,6,Rain,200<br />
2003-6-10,22,18,15,14,12,8,88,69,52,1013,1011,1010,10,10,10,40,18,58,0.00,6,Rain,197<br />
2003-6-11,21,17,14,11,10,8,82,63,46,1020,1017,1014,10,10,10,24,19,,0.00,4,,215<br />
2003-6-12,23,18,13,11,8,6,88,59,36,1022,1020,1018,10,10,10,27,13,32,0.00,3,,248<br />
2003-6-13,23,17,11,10,7,3,88,54,27,1024,1023,1022,10,10,10,16,11,,0.00,1,,296<br />
2003-6-14,24,20,15,11,8,3,68,47,27,1023,1021,1020,10,10,10,23,13,35,0.00,8,Rain,90<br />
2003-6-15,26,19,12,13,9,7,77,53,32,1023,1021,1018,10,10,10,16,8,26,0.00,6,,10<br />
2003-6-16,27,21,15,13,11,8,82,54,34,1019,1015,1013,10,10,10,23,11,,0.00,3,,180<br />
2003-6-17,25,20,16,16,13,11,83,66,41,1015,1011,1010,10,9,7,29,10,27,0.00,5,Rain-Thunderstorm,227<br />
2003-6-18,21,17,14,15,12,7,83,72,43,1020,1018,1015,10,10,10,34,21,,0.00,5,,244<br />
2003-6-19,24,20,15,15,14,13,88,72,57,1022,1021,1019,10,10,10,39,23,58,0.00,5,,252<br />
2003-6-20,22,17,12,13,8,6,94,59,35,1023,1022,1021,10,10,10,24,16,,0.00,1,,298<br />
2003-6-21,25,18,12,11,8,6,72,51,32,1022,1019,1014,10,10,10,24,10,39,0.00,6,,100<br />
2003-6-22,25,20,15,17,14,10,88,67,50,1014,1008,1006,10,9,5,39,14,,0.00,7,Rain-Thunderstorm,175<br />
2003-6-23,23,19,15,17,13,9,100,72,44,1016,1009,1003,10,9,3,27,16,,0.00,4,Rain-Thunderstorm,269<br />
2003-6-24,23,17,11,12,9,8,88,60,41,1022,1020,1017,10,10,10,14,10,32,0.00,1,,325<br />
2003-6-25,22,18,14,12,10,8,77,61,41,1022,1021,1019,10,10,10,26,13,42,0.00,5,,94<br />
2003-6-26,24,19,15,14,13,11,88,68,47,1019,1016,1015,10,10,10,24,16,40,0.00,4,,82<br />
2003-6-27,22,18,13,16,13,8,88,74,57,1017,1015,1014,10,9,3,26,10,,0.00,6,Rain,222<br />
2003-6-28,22,16,11,11,9,5,94,63,33,1017,1015,1012,10,10,10,19,11,,0.00,4,,239<br />
2003-6-29,26,18,11,12,9,5,88,55,37,1012,1008,1005,10,10,10,27,11,,0.00,8,Rain,91<br />
2003-6-30,21,18,16,16,13,10,94,76,53,1006,1002,1001,10,9,5,26,18,39,0.00,7,Rain-Thunderstorm,185<br />
2003-7-1,20,17,14,14,12,9,94,76,49,1001,999,997,10,10,7,24,13,,0.00,6,Rain,266<br />
2003-7-2,20,17,14,14,12,10,88,75,52,1008,1005,1001,10,10,6,19,13,,0.00,6,Rain-Thunderstorm,294<br />
2003-7-3,19,17,14,13,12,11,88,75,60,1014,1011,1008,10,10,10,19,13,,0.00,6,Rain,294<br />
2003-7-4,21,16,12,12,11,9,94,67,49,1018,1016,1014,10,10,10,23,13,,0.00,5,,294<br />
2003-7-5,19,16,12,12,11,9,82,68,56,1020,1019,1018,10,10,10,16,11,,0.00,6,,322<br />
2003-7-6,23,19,15,13,10,8,82,60,38,1022,1021,1020,10,10,8,14,10,,0.00,5,,306<br />
2003-7-7,22,17,12,12,11,8,88,63,43,1023,1022,1022,10,10,10,23,13,,0.00,6,,248<br />
